fixture,vertices,edges,parent_planar,parent_tait_count,central_edge_id,central_edge,pairing_index,partition_identity_passed,valid_child,invalid_reason,child_planar,child_has_bridge,replacement_edges_adjacent,child_tait_count,replacement_monochromatic_count,replacement_bichromatic_count,liftable_parent_count,lift_rate,colorable_but_nonliftable
triangular_prism,6,9,True,6,4,"(1, 4)",0,True,True,,True,False,False,12,6,6,6,0.5,False
triangular_prism,6,9,True,6,4,"(1, 4)",1,True,True,,True,False,False,6,6,0,0,0.0,True
triangular_prism,6,9,True,6,5,"(2, 5)",0,True,True,,True,False,False,12,6,6,6,0.5,False
triangular_prism,6,9,True,6,5,"(2, 5)",1,True,True,,True,False,False,6,6,0,0,0.0,True
triangular_prism,6,9,True,6,6,"(3, 4)",0,True,False,pairing creates a loop,,,,0,0,0,0,,False
triangular_prism,6,9,True,6,6,"(3, 4)",1,True,True,,True,False,True,6,0,6,6,1.0,False
triangular_prism,6,9,True,6,7,"(3, 5)",0,True,False,pairing creates a loop,,,,0,0,0,0,,False
triangular_prism,6,9,True,6,7,"(3, 5)",1,True,True,,True,False,True,6,0,6,6,1.0,False
triangular_prism,6,9,True,6,8,"(4, 5)",0,True,False,pairing creates a loop,,,,0,0,0,0,,False
triangular_prism,6,9,True,6,8,"(4, 5)",1,True,True,,True,False,True,6,0,6,6,1.0,False
cube_graph,8,12,True,24,0,"(0, 1)",0,True,True,,True,False,False,24,6,18,18,0.75,False
cube_graph,8,12,True,24,0,"(0, 1)",1,True,True,,False,False,False,12,6,6,6,0.5,False
cube_graph,8,12,True,24,1,"(0, 3)",0,True,True,,True,False,False,24,6,18,18,0.75,False
cube_graph,8,12,True,24,1,"(0, 3)",1,True,True,,False,False,False,12,6,6,6,0.5,False
cube_graph,8,12,True,24,2,"(0, 4)",0,True,True,,False,False,False,12,6,6,6,0.5,False
cube_graph,8,12,True,24,2,"(0, 4)",1,True,True,,True,False,False,24,6,18,18,0.75,False
cube_graph,8,12,True,24,3,"(1, 2)",0,True,True,,True,False,False,24,6,18,18,0.75,False
cube_graph,8,12,True,24,3,"(1, 2)",1,True,True,,False,False,False,12,6,6,6,0.5,False
cube_graph,8,12,True,24,4,"(1, 7)",0,True,True,,True,False,False,24,6,18,18,0.75,False
cube_graph,8,12,True,24,4,"(1, 7)",1,True,True,,False,False,False,12,6,6,6,0.5,False
cube_graph,8,12,True,24,5,"(2, 3)",0,True,True,,True,False,False,24,6,18,18,0.75,False
cube_graph,8,12,True,24,5,"(2, 3)",1,True,True,,False,False,False,12,6,6,6,0.5,False
cube_graph,8,12,True,24,6,"(2, 6)",0,True,True,,False,False,False,12,6,6,6,0.5,False
cube_graph,8,12,True,24,6,"(2, 6)",1,True,True,,True,False,False,24,6,18,18,0.75,False
cube_graph,8,12,True,24,7,"(3, 5)",0,True,True,,True,False,False,24,6,18,18,0.75,False
cube_graph,8,12,True,24,7,"(3, 5)",1,True,True,,False,False,False,12,6,6,6,0.5,False
cube_graph,8,12,True,24,8,"(4, 5)",0,True,True,,True,False,False,24,6,18,18,0.75,False
cube_graph,8,12,True,24,8,"(4, 5)",1,True,True,,False,False,False,12,6,6,6,0.5,False
cube_graph,8,12,True,24,9,"(4, 7)",0,True,True,,True,False,False,24,6,18,18,0.75,False
cube_graph,8,12,True,24,9,"(4, 7)",1,True,True,,False,False,False,12,6,6,6,0.5,False
cube_graph,8,12,True,24,10,"(5, 6)",0,True,True,,True,False,False,24,6,18,18,0.75,False
cube_graph,8,12,True,24,10,"(5, 6)",1,True,True,,False,False,False,12,6,6,6,0.5,False
cube_graph,8,12,True,24,11,"(6, 7)",0,True,True,,True,False,False,24,6,18,18,0.75,False
cube_graph,8,12,True,24,11,"(6, 7)",1,True,True,,False,False,False,12,6,6,6,0.5,False
k33_nonplanar,6,9,False,12,0,"(0, 3)",0,True,True,,True,False,False,12,6,6,6,0.5,False
k33_nonplanar,6,9,False,12,0,"(0, 3)",1,True,True,,True,False,False,12,6,6,6,0.5,False
k33_nonplanar,6,9,False,12,1,"(0, 4)",0,True,True,,True,False,False,12,6,6,6,0.5,False
k33_nonplanar,6,9,False,12,1,"(0, 4)",1,True,True,,True,False,False,12,6,6,6,0.5,False
k33_nonplanar,6,9,False,12,2,"(0, 5)",0,True,True,,True,False,False,12,6,6,6,0.5,False
k33_nonplanar,6,9,False,12,2,"(0, 5)",1,True,True,,True,False,False,12,6,6,6,0.5,False
k33_nonplanar,6,9,False,12,3,"(1, 3)",0,True,True,,True,False,False,12,6,6,6,0.5,False
k33_nonplanar,6,9,False,12,3,"(1, 3)",1,True,True,,True,False,False,12,6,6,6,0.5,False
k33_nonplanar,6,9,False,12,4,"(1, 4)",0,True,True,,True,False,False,12,6,6,6,0.5,False
k33_nonplanar,6,9,False,12,4,"(1, 4)",1,True,True,,True,False,False,12,6,6,6,0.5,False
k33_nonplanar,6,9,False,12,5,"(1, 5)",0,True,True,,True,False,False,12,6,6,6,0.5,False
k33_nonplanar,6,9,False,12,5,"(1, 5)",1,True,True,,True,False,False,12,6,6,6,0.5,False
k33_nonplanar,6,9,False,12,6,"(2, 3)",0,True,True,,True,False,False,12,6,6,6,0.5,False
k33_nonplanar,6,9,False,12,6,"(2, 3)",1,True,True,,True,False,False,12,6,6,6,0.5,False
k33_nonplanar,6,9,False,12,7,"(2, 4)",0,True,True,,True,False,False,12,6,6,6,0.5,False
k33_nonplanar,6,9,False,12,7,"(2, 4)",1,True,True,,True,False,False,12,6,6,6,0.5,False
k33_nonplanar,6,9,False,12,8,"(2, 5)",0,True,True,,True,False,False,12,6,6,6,0.5,False
k33_nonplanar,6,9,False,12,8,"(2, 5)",1,True,True,,True,False,False,12,6,6,6,0.5,False
petersen_snark,10,15,False,0,0,"(0, 1)",0,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,0,"(0, 1)",1,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,1,"(0, 4)",0,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,1,"(0, 4)",1,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,2,"(0, 5)",0,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,2,"(0, 5)",1,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,3,"(1, 2)",0,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,3,"(1, 2)",1,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,4,"(1, 6)",0,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,4,"(1, 6)",1,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,5,"(2, 3)",0,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,5,"(2, 3)",1,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,6,"(2, 7)",0,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,6,"(2, 7)",1,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,7,"(3, 4)",0,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,7,"(3, 4)",1,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,8,"(3, 8)",0,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,8,"(3, 8)",1,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,9,"(4, 9)",0,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,9,"(4, 9)",1,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,10,"(5, 7)",0,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,10,"(5, 7)",1,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,11,"(5, 8)",0,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,11,"(5, 8)",1,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,12,"(6, 8)",0,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,12,"(6, 8)",1,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,13,"(6, 9)",0,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,13,"(6, 9)",1,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,14,"(7, 9)",0,True,True,,True,False,False,6,6,0,0,0.0,True
petersen_snark,10,15,False,0,14,"(7, 9)",1,True,True,,True,False,False,6,6,0,0,0.0,True
frucht_graph,12,18,True,6,0,"(0, 1)",0,True,False,pairing creates a loop,,,,0,0,0,0,,False
frucht_graph,12,18,True,6,0,"(0, 1)",1,True,True,,True,False,True,6,0,6,6,1.0,False
frucht_graph,12,18,True,6,1,"(0, 6)",0,True,True,,True,False,False,6,6,0,0,0.0,True
frucht_graph,12,18,True,6,1,"(0, 6)",1,True,True,,False,False,False,12,6,6,6,0.5,False
frucht_graph,12,18,True,6,2,"(0, 7)",0,True,False,pairing creates a loop,,,,0,0,0,0,,False
frucht_graph,12,18,True,6,2,"(0, 7)",1,True,True,,True,False,True,6,0,6,6,1.0,False
frucht_graph,12,18,True,6,3,"(1, 2)",0,True,True,,True,False,False,6,6,0,0,0.0,True
frucht_graph,12,18,True,6,3,"(1, 2)",1,True,True,,False,False,False,12,6,6,6,0.5,False
frucht_graph,12,18,True,6,4,"(1, 7)",0,True,False,pairing creates a loop,,,,0,0,0,0,,False
frucht_graph,12,18,True,6,4,"(1, 7)",1,True,True,,True,False,True,6,0,6,6,1.0,False
frucht_graph,12,18,True,6,5,"(2, 3)",0,True,True,,True,False,False,12,6,6,6,0.5,False
frucht_graph,12,18,True,6,5,"(2, 3)",1,True,True,,True,False,False,6,6,0,0,0.0,True
frucht_graph,12,18,True,6,6,"(2, 8)",0,True,True,,True,False,False,6,0,6,6,1.0,False
frucht_graph,12,18,True,6,6,"(2, 8)",1,True,True,,True,True,False,0,0,0,0,,False
frucht_graph,12,18,True,6,7,"(3, 4)",0,True,False,pairing creates a loop,,,,0,0,0,0,,False
frucht_graph,12,18,True,6,7,"(3, 4)",1,True,True,,True,False,True,6,0,6,6,1.0,False
frucht_graph,12,18,True,6,8,"(3, 9)",0,True,True,,True,False,True,6,0,6,6,1.0,False
frucht_graph,12,18,True,6,8,"(3, 9)",1,True,False,pairing creates a loop,,,,0,0,0,0,,False
frucht_graph,12,18,True,6,9,"(4, 5)",0,True,True,,True,False,False,24,18,6,6,0.25,False
frucht_graph,12,18,True,6,9,"(4, 5)",1,True,True,,False,False,False,18,18,0,0,0.0,True
frucht_graph,12,18,True,6,10,"(4, 9)",0,True,False,pairing creates a loop,,,,0,0,0,0,,False
frucht_graph,12,18,True,6,10,"(4, 9)",1,True,True,,True,False,True,6,0,6,6,1.0,False
frucht_graph,12,18,True,6,11,"(5, 6)",0,True,False,pairing creates a loop,,,,0,0,0,0,,False
frucht_graph,12,18,True,6,11,"(5, 6)",1,True,True,,True,False,True,6,0,6,6,1.0,False
frucht_graph,12,18,True,6,12,"(5, 10)",0,True,True,,True,False,True,6,0,6,6,1.0,False
frucht_graph,12,18,True,6,12,"(5, 10)",1,True,False,pairing creates a loop,,,,0,0,0,0,,False
frucht_graph,12,18,True,6,13,"(6, 10)",0,True,True,,True,False,True,6,0,6,6,1.0,False
frucht_graph,12,18,True,6,13,"(6, 10)",1,True,False,pairing creates a loop,,,,0,0,0,0,,False
frucht_graph,12,18,True,6,14,"(7, 11)",0,True,True,,True,False,False,6,6,0,0,0.0,True
frucht_graph,12,18,True,6,14,"(7, 11)",1,True,True,,True,False,False,12,6,6,6,0.5,False
frucht_graph,12,18,True,6,15,"(8, 9)",0,True,True,,True,False,False,12,6,6,6,0.5,False
frucht_graph,12,18,True,6,15,"(8, 9)",1,True,True,,True,False,False,6,6,0,0,0.0,True
frucht_graph,12,18,True,6,16,"(8, 11)",0,True,True,,True,False,False,12,6,6,6,0.5,False
frucht_graph,12,18,True,6,16,"(8, 11)",1,True,True,,True,False,False,6,6,0,0,0.0,True
frucht_graph,12,18,True,6,17,"(10, 11)",0,True,True,,True,False,False,6,6,0,0,0.0,True
frucht_graph,12,18,True,6,17,"(10, 11)",1,True,True,,True,False,False,12,6,6,6,0.5,False
truncated_tetrahedron,12,18,True,6,0,"(0, 1)",0,True,False,pairing creates a loop,,,,0,0,0,0,,False
truncated_tetrahedron,12,18,True,6,0,"(0, 1)",1,True,True,,True,False,True,6,0,6,6,1.0,False
truncated_tetrahedron,12,18,True,6,1,"(0, 2)",0,True,False,pairing creates a loop,,,,0,0,0,0,,False
truncated_tetrahedron,12,18,True,6,1,"(0, 2)",1,True,True,,True,False,True,6,0,6,6,1.0,False
truncated_tetrahedron,12,18,True,6,2,"(0, 9)",0,True,True,,True,False,False,6,6,0,0,0.0,True
truncated_tetrahedron,12,18,True,6,2,"(0, 9)",1,True,True,,False,False,False,12,6,6,6,0.5,False
truncated_tetrahedron,12,18,True,6,3,"(1, 2)",0,True,False,pairing creates a loop,,,,0,0,0,0,,False
truncated_tetrahedron,12,18,True,6,3,"(1, 2)",1,True,True,,True,False,True,6,0,6,6,1.0,False
truncated_tetrahedron,12,18,True,6,4,"(1, 6)",0,True,True,,False,False,False,12,6,6,6,0.5,False
truncated_tetrahedron,12,18,True,6,4,"(1, 6)",1,True,True,,True,False,False,6,6,0,0,0.0,True
truncated_tetrahedron,12,18,True,6,5,"(2, 3)",0,True,True,,False,False,False,12,6,6,6,0.5,False
truncated_tetrahedron,12,18,True,6,5,"(2, 3)",1,True,True,,True,False,False,6,6,0,0,0.0,True
truncated_tetrahedron,12,18,True,6,6,"(3, 4)",0,True,False,pairing creates a loop,,,,0,0,0,0,,False
truncated_tetrahedron,12,18,True,6,6,"(3, 4)",1,True,True,,True,False,True,6,0,6,6,1.0,False
truncated_tetrahedron,12,18,True,6,7,"(3, 11)",0,True,True,,True,False,True,6,0,6,6,1.0,False
truncated_tetrahedron,12,18,True,6,7,"(3, 11)",1,True,False,pairing creates a loop,,,,0,0,0,0,,False
truncated_tetrahedron,12,18,True,6,8,"(4, 5)",0,True,True,,True,False,False,6,6,0,0,0.0,True
truncated_tetrahedron,12,18,True,6,8,"(4, 5)",1,True,True,,False,False,False,12,6,6,6,0.5,False
truncated_tetrahedron,12,18,True,6,9,"(4, 11)",0,True,False,pairing creates a loop,,,,0,0,0,0,,False
truncated_tetrahedron,12,18,True,6,9,"(4, 11)",1,True,True,,True,False,True,6,0,6,6,1.0,False
truncated_tetrahedron,12,18,True,6,10,"(5, 6)",0,True,False,pairing creates a loop,,,,0,0,0,0,,False
truncated_tetrahedron,12,18,True,6,10,"(5, 6)",1,True,True,,True,False,True,6,0,6,6,1.0,False
truncated_tetrahedron,12,18,True,6,11,"(5, 7)",0,True,True,,True,False,True,6,0,6,6,1.0,False
truncated_tetrahedron,12,18,True,6,11,"(5, 7)",1,True,False,pairing creates a loop,,,,0,0,0,0,,False
truncated_tetrahedron,12,18,True,6,12,"(6, 7)",0,True,True,,True,False,True,6,0,6,6,1.0,False
truncated_tetrahedron,12,18,True,6,12,"(6, 7)",1,True,False,pairing creates a loop,,,,0,0,0,0,,False
truncated_tetrahedron,12,18,True,6,13,"(7, 8)",0,True,True,,False,False,False,12,6,6,6,0.5,False
truncated_tetrahedron,12,18,True,6,13,"(7, 8)",1,True,True,,True,False,False,6,6,0,0,0.0,True
truncated_tetrahedron,12,18,True,6,14,"(8, 9)",0,True,False,pairing creates a loop,,,,0,0,0,0,,False
truncated_tetrahedron,12,18,True,6,14,"(8, 9)",1,True,True,,True,False,True,6,0,6,6,1.0,False
truncated_tetrahedron,12,18,True,6,15,"(8, 10)",0,True,True,,True,False,True,6,0,6,6,1.0,False
truncated_tetrahedron,12,18,True,6,15,"(8, 10)",1,True,False,pairing creates a loop,,,,0,0,0,0,,False
truncated_tetrahedron,12,18,True,6,16,"(9, 10)",0,True,True,,True,False,True,6,0,6,6,1.0,False
truncated_tetrahedron,12,18,True,6,16,"(9, 10)",1,True,False,pairing creates a loop,,,,0,0,0,0,,False
truncated_tetrahedron,12,18,True,6,17,"(10, 11)",0,True,True,,False,False,False,12,6,6,6,0.5,False
truncated_tetrahedron,12,18,True,6,17,"(10, 11)",1,True,True,,True,False,False,6,6,0,0,0.0,True
heawood_graph,14,21,False,48,0,"(0, 1)",0,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,0,"(0, 1)",1,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,1,"(0, 5)",0,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,1,"(0, 5)",1,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,2,"(0, 13)",0,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,2,"(0, 13)",1,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,3,"(1, 2)",0,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,3,"(1, 2)",1,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,4,"(1, 10)",0,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,4,"(1, 10)",1,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,5,"(2, 3)",0,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,5,"(2, 3)",1,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,6,"(2, 7)",0,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,6,"(2, 7)",1,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,7,"(3, 4)",0,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,7,"(3, 4)",1,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,8,"(3, 12)",0,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,8,"(3, 12)",1,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,9,"(4, 5)",0,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,9,"(4, 5)",1,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,10,"(4, 9)",0,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,10,"(4, 9)",1,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,11,"(5, 6)",0,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,11,"(5, 6)",1,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,12,"(6, 7)",0,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,12,"(6, 7)",1,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,13,"(6, 11)",0,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,13,"(6, 11)",1,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,14,"(7, 8)",0,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,14,"(7, 8)",1,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,15,"(8, 9)",0,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,15,"(8, 9)",1,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,16,"(8, 13)",0,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,16,"(8, 13)",1,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,17,"(9, 10)",0,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,17,"(9, 10)",1,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,18,"(10, 11)",0,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,18,"(10, 11)",1,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,19,"(11, 12)",0,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,19,"(11, 12)",1,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,20,"(12, 13)",0,True,True,,False,False,False,48,24,24,24,0.5,False
heawood_graph,14,21,False,48,20,"(12, 13)",1,True,True,,False,False,False,48,24,24,24,0.5,False
