r2,r3,first_grouped_ratio,first_condition_4r3_ge_r2,first_ratio_ge_1_16,second_grouped_ratio,second_condition_r2_ge_2r3,second_ratio_ge_1_16,at_least_one_case_applies,an_applicable_case_proves_1_16
0,47,1/12,True,True,1/18,False,False,True,True
0,48,1/12,True,True,1/18,False,False,True,True
0,49,1/12,True,True,1/18,False,False,True,True
0,50,1/12,True,True,1/18,False,False,True,True
0,51,1/12,True,True,1/18,False,False,True,True
0,52,1/12,True,True,1/18,False,False,True,True
0,53,1/12,True,True,1/18,False,False,True,True
0,54,1/12,True,True,1/18,False,False,True,True
0,55,1/12,True,True,1/18,False,False,True,True
0,56,1/12,True,True,1/18,False,False,True,True
0,57,1/12,True,True,1/18,False,False,True,True
0,58,1/12,True,True,1/18,False,False,True,True
0,59,1/12,True,True,1/18,False,False,True,True
0,60,1/12,True,True,1/18,False,False,True,True
0,61,1/12,True,True,1/18,False,False,True,True
0,62,1/12,True,True,1/18,False,False,True,True
0,63,1/12,True,True,1/18,False,False,True,True
0,64,1/12,True,True,1/18,False,False,True,True
1,0,1/17,False,False,1/15,True,True,True,True
1,1,2/29,True,True,2/33,False,False,True,True
1,2,3/41,True,True,1/17,False,False,True,True
1,3,4/53,True,True,4/69,False,False,True,True
1,4,1/13,True,True,5/87,False,False,True,True
1,5,6/77,True,True,2/35,False,False,True,True
1,6,7/89,True,True,7/123,False,False,True,True
1,7,8/101,True,True,8/141,False,False,True,True
1,8,9/113,True,True,3/53,False,False,True,True
1,9,2/25,True,True,10/177,False,False,True,True
1,10,11/137,True,True,11/195,False,False,True,True
1,11,12/149,True,True,4/71,False,False,True,True
1,12,13/161,True,True,13/231,False,False,True,True
1,13,14/173,True,True,14/249,False,False,True,True
1,14,3/37,True,True,5/89,False,False,True,True
1,15,16/197,True,True,16/285,False,False,True,True
1,16,17/209,True,True,17/303,False,False,True,True
1,17,18/221,True,True,6/107,False,False,True,True
1,18,19/233,True,True,19/339,False,False,True,True
1,19,4/49,True,True,20/357,False,False,True,True
1,20,21/257,True,True,7/125,False,False,True,True
1,21,22/269,True,True,22/393,False,False,True,True
1,22,23/281,True,True,23/411,False,False,True,True
1,23,24/293,True,True,8/143,False,False,True,True
1,24,5/61,True,True,25/447,False,False,True,True
1,25,26/317,True,True,26/465,False,False,True,True
1,26,27/329,True,True,9/161,False,False,True,True
1,27,28/341,True,True,28/501,False,False,True,True
1,28,29/353,True,True,29/519,False,False,True,True
1,29,6/73,True,True,10/179,False,False,True,True
1,30,31/377,True,True,31/555,False,False,True,True
1,31,32/389,True,True,32/573,False,False,True,True
1,32,33/401,True,True,11/197,False,False,True,True
1,33,34/413,True,True,34/609,False,False,True,True
1,34,7/85,True,True,35/627,False,False,True,True
1,35,36/437,True,True,12/215,False,False,True,True
1,36,37/449,True,True,37/663,False,False,True,True
1,37,38/461,True,True,38/681,False,False,True,True
1,38,39/473,True,True,13/233,False,False,True,True
1,39,8/97,True,True,40/717,False,False,True,True
1,40,41/497,True,True,41/735,False,False,True,True
1,41,42/509,True,True,14/251,False,False,True,True
1,42,43/521,True,True,43/771,False,False,True,True
1,43,44/533,True,True,44/789,False,False,True,True
1,44,9/109,True,True,15/269,False,False,True,True
1,45,46/557,True,True,46/825,False,False,True,True
1,46,47/569,True,True,47/843,False,False,True,True
1,47,48/581,True,True,16/287,False,False,True,True
1,48,49/593,True,True,49/879,False,False,True,True
1,49,10/121,True,True,50/897,False,False,True,True
1,50,51/617,True,True,17/305,False,False,True,True
1,51,52/629,True,True,52/933,False,False,True,True
1,52,53/641,True,True,53/951,False,False,True,True
1,53,54/653,True,True,18/323,False,False,True,True
1,54,11/133,True,True,55/987,False,False,True,True
1,55,56/677,True,True,56/1005,False,False,True,True
1,56,57/689,True,True,19/341,False,False,True,True
1,57,58/701,True,True,58/1041,False,False,True,True
1,58,59/713,True,True,59/1059,False,False,True,True
1,59,12/145,True,True,20/359,False,False,True,True
1,60,61/737,True,True,61/1095,False,False,True,True
1,61,62/749,True,True,62/1113,False,False,True,True
1,62,63/761,True,True,21/377,False,False,True,True
1,63,64/773,True,True,64/1149,False,False,True,True
1,64,13/157,True,True,65/1167,False,False,True,True
2,0,1/17,False,False,1/15,True,True,True,True
2,1,3/46,True,True,1/16,True,True,True,True
2,2,2/29,True,True,2/33,False,False,True,True
2,3,1/14,True,True,5/84,False,False,True,True
2,4,3/41,True,True,1/17,False,False,True,True
2,5,7/94,True,True,7/120,False,False,True,True
2,6,4/53,True,True,4/69,False,False,True,True
2,7,9/118,True,True,3/52,False,False,True,True
2,8,1/13,True,True,5/87,False,False,True,True
2,9,11/142,True,True,11/192,False,False,True,True
2,10,6/77,True,True,2/35,False,False,True,True
2,11,13/166,True,True,13/228,False,False,True,True
2,12,7/89,True,True,7/123,False,False,True,True
2,13,3/38,True,True,5/88,False,False,True,True
2,14,8/101,True,True,8/141,False,False,True,True
2,15,17/214,True,True,17/300,False,False,True,True
2,16,9/113,True,True,3/53,False,False,True,True
2,17,19/238,True,True,19/336,False,False,True,True
2,18,2/25,True,True,10/177,False,False,True,True
2,19,21/262,True,True,7/124,False,False,True,True
2,20,11/137,True,True,11/195,False,False,True,True
2,21,23/286,True,True,23/408,False,False,True,True
2,22,12/149,True,True,4/71,False,False,True,True
2,23,5/62,True,True,25/444,False,False,True,True
2,24,13/161,True,True,13/231,False,False,True,True
2,25,27/334,True,True,9/160,False,False,True,True
2,26,14/173,True,True,14/249,False,False,True,True
2,27,29/358,True,True,29/516,False,False,True,True
2,28,3/37,True,True,5/89,False,False,True,True
2,29,31/382,True,True,31/552,False,False,True,True
2,30,16/197,True,True,16/285,False,False,True,True
2,31,33/406,True,True,11/196,False,False,True,True
2,32,17/209,True,True,17/303,False,False,True,True
2,33,7/86,True,True,35/624,False,False,True,True
2,34,18/221,True,True,6/107,False,False,True,True
2,35,37/454,True,True,37/660,False,False,True,True
2,36,19/233,True,True,19/339,False,False,True,True
2,37,39/478,True,True,13/232,False,False,True,True
2,38,4/49,True,True,20/357,False,False,True,True
2,39,41/502,True,True,41/732,False,False,True,True
2,40,21/257,True,True,7/125,False,False,True,True
2,41,43/526,True,True,43/768,False,False,True,True
2,42,22/269,True,True,22/393,False,False,True,True
2,43,9/110,True,True,15/268,False,False,True,True
2,44,23/281,True,True,23/411,False,False,True,True
2,45,47/574,True,True,47/840,False,False,True,True
2,46,24/293,True,True,8/143,False,False,True,True
2,47,49/598,True,True,49/876,False,False,True,True
2,48,5/61,True,True,25/447,False,False,True,True
2,49,51/622,True,True,17/304,False,False,True,True
2,50,26/317,True,True,26/465,False,False,True,True
2,51,53/646,True,True,53/948,False,False,True,True
2,52,27/329,True,True,9/161,False,False,True,True
2,53,11/134,True,True,55/984,False,False,True,True
2,54,28/341,True,True,28/501,False,False,True,True
2,55,57/694,True,True,19/340,False,False,True,True
2,56,29/353,True,True,29/519,False,False,True,True
2,57,59/718,True,True,59/1056,False,False,True,True
2,58,6/73,True,True,10/179,False,False,True,True
2,59,61/742,True,True,61/1092,False,False,True,True
2,60,31/377,True,True,31/555,False,False,True,True
2,61,63/766,True,True,21/376,False,False,True,True
2,62,32/389,True,True,32/573,False,False,True,True
2,63,13/158,True,True,65/1164,False,False,True,True
2,64,33/401,True,True,11/197,False,False,True,True
3,0,1/17,False,False,1/15,True,True,True,True
3,1,4/63,True,True,4/63,True,True,True,True
3,2,1/15,True,True,5/81,False,False,True,True
3,3,2/29,True,True,2/33,False,False,True,True
3,4,7/99,True,True,7/117,False,False,True,True
3,5,8/111,True,True,8/135,False,False,True,True
3,6,3/41,True,True,1/17,False,False,True,True
3,7,2/27,True,True,10/171,False,False,True,True
3,8,11/147,True,True,11/189,False,False,True,True
3,9,4/53,True,True,4/69,False,False,True,True
3,10,13/171,True,True,13/225,False,False,True,True
3,11,14/183,True,True,14/243,False,False,True,True
3,12,1/13,True,True,5/87,False,False,True,True
3,13,16/207,True,True,16/279,False,False,True,True
3,14,17/219,True,True,17/297,False,False,True,True
3,15,6/77,True,True,2/35,False,False,True,True
3,16,19/243,True,True,19/333,False,False,True,True
3,17,4/51,True,True,20/351,False,False,True,True
3,18,7/89,True,True,7/123,False,False,True,True
3,19,22/279,True,True,22/387,False,False,True,True
3,20,23/291,True,True,23/405,False,False,True,True
3,21,8/101,True,True,8/141,False,False,True,True
3,22,5/63,True,True,25/441,False,False,True,True
3,23,26/327,True,True,26/459,False,False,True,True
3,24,9/113,True,True,3/53,False,False,True,True
3,25,28/351,True,True,28/495,False,False,True,True
3,26,29/363,True,True,29/513,False,False,True,True
3,27,2/25,True,True,10/177,False,False,True,True
3,28,31/387,True,True,31/549,False,False,True,True
3,29,32/399,True,True,32/567,False,False,True,True
3,30,11/137,True,True,11/195,False,False,True,True
3,31,34/423,True,True,34/603,False,False,True,True
3,32,7/87,True,True,35/621,False,False,True,True
3,33,12/149,True,True,4/71,False,False,True,True
3,34,37/459,True,True,37/657,False,False,True,True
3,35,38/471,True,True,38/675,False,False,True,True
3,36,13/161,True,True,13/231,False,False,True,True
3,37,8/99,True,True,40/711,False,False,True,True
3,38,41/507,True,True,41/729,False,False,True,True
3,39,14/173,True,True,14/249,False,False,True,True
3,40,43/531,True,True,43/765,False,False,True,True
3,41,44/543,True,True,44/783,False,False,True,True
3,42,3/37,True,True,5/89,False,False,True,True
3,43,46/567,True,True,46/819,False,False,True,True
3,44,47/579,True,True,47/837,False,False,True,True
3,45,16/197,True,True,16/285,False,False,True,True
3,46,49/603,True,True,49/873,False,False,True,True
3,47,10/123,True,True,50/891,False,False,True,True
3,48,17/209,True,True,17/303,False,False,True,True
3,49,52/639,True,True,52/927,False,False,True,True
3,50,53/651,True,True,53/945,False,False,True,True
3,51,18/221,True,True,6/107,False,False,True,True
3,52,11/135,True,True,55/981,False,False,True,True
3,53,56/687,True,True,56/999,False,False,True,True
3,54,19/233,True,True,19/339,False,False,True,True
3,55,58/711,True,True,58/1035,False,False,True,True
3,56,59/723,True,True,59/1053,False,False,True,True
3,57,4/49,True,True,20/357,False,False,True,True
3,58,61/747,True,True,61/1089,False,False,True,True
3,59,62/759,True,True,62/1107,False,False,True,True
3,60,21/257,True,True,7/125,False,False,True,True
3,61,64/783,True,True,64/1143,False,False,True,True
3,62,13/159,True,True,65/1161,False,False,True,True
3,63,22/269,True,True,22/393,False,False,True,True
3,64,67/819,True,True,67/1197,False,False,True,True
4,0,1/17,False,False,1/15,True,True,True,True
4,1,1/16,True,True,5/78,True,True,True,True
4,2,3/46,True,True,1/16,True,True,True,True
4,3,7/104,True,True,7/114,False,False,True,True
4,4,2/29,True,True,2/33,False,False,True,True
4,5,9/128,True,True,3/50,False,False,True,True
4,6,1/14,True,True,5/84,False,False,True,True
4,7,11/152,True,True,11/186,False,False,True,True
4,8,3/41,True,True,1/17,False,False,True,True
4,9,13/176,True,True,13/222,False,False,True,True
4,10,7/94,True,True,7/120,False,False,True,True
4,11,3/40,True,True,5/86,False,False,True,True
4,12,4/53,True,True,4/69,False,False,True,True
4,13,17/224,True,True,17/294,False,False,True,True
4,14,9/118,True,True,3/52,False,False,True,True
4,15,19/248,True,True,19/330,False,False,True,True
4,16,1/13,True,True,5/87,False,False,True,True
4,17,21/272,True,True,7/122,False,False,True,True
4,18,11/142,True,True,11/192,False,False,True,True
4,19,23/296,True,True,23/402,False,False,True,True
4,20,6/77,True,True,2/35,False,False,True,True
4,21,5/64,True,True,25/438,False,False,True,True
4,22,13/166,True,True,13/228,False,False,True,True
4,23,27/344,True,True,9/158,False,False,True,True
4,24,7/89,True,True,7/123,False,False,True,True
4,25,29/368,True,True,29/510,False,False,True,True
4,26,3/38,True,True,5/88,False,False,True,True
4,27,31/392,True,True,31/546,False,False,True,True
4,28,8/101,True,True,8/141,False,False,True,True
4,29,33/416,True,True,11/194,False,False,True,True
4,30,17/214,True,True,17/300,False,False,True,True
4,31,7/88,True,True,35/618,False,False,True,True
4,32,9/113,True,True,3/53,False,False,True,True
4,33,37/464,True,True,37/654,False,False,True,True
4,34,19/238,True,True,19/336,False,False,True,True
4,35,39/488,True,True,13/230,False,False,True,True
4,36,2/25,True,True,10/177,False,False,True,True
4,37,41/512,True,True,41/726,False,False,True,True
4,38,21/262,True,True,7/124,False,False,True,True
4,39,43/536,True,True,43/762,False,False,True,True
4,40,11/137,True,True,11/195,False,False,True,True
4,41,9/112,True,True,15/266,False,False,True,True
4,42,23/286,True,True,23/408,False,False,True,True
4,43,47/584,True,True,47/834,False,False,True,True
4,44,12/149,True,True,4/71,False,False,True,True
4,45,49/608,True,True,49/870,False,False,True,True
4,46,5/62,True,True,25/444,False,False,True,True
4,47,51/632,True,True,17/302,False,False,True,True
4,48,13/161,True,True,13/231,False,False,True,True
4,49,53/656,True,True,53/942,False,False,True,True
4,50,27/334,True,True,9/160,False,False,True,True
4,51,11/136,True,True,55/978,False,False,True,True
4,52,14/173,True,True,14/249,False,False,True,True
4,53,57/704,True,True,19/338,False,False,True,True
4,54,29/358,True,True,29/516,False,False,True,True
4,55,59/728,True,True,59/1050,False,False,True,True
4,56,3/37,True,True,5/89,False,False,True,True
4,57,61/752,True,True,61/1086,False,False,True,True
4,58,31/382,True,True,31/552,False,False,True,True
4,59,63/776,True,True,21/374,False,False,True,True
4,60,16/197,True,True,16/285,False,False,True,True
4,61,13/160,True,True,65/1158,False,False,True,True
4,62,33/406,True,True,11/196,False,False,True,True
4,63,67/824,True,True,67/1194,False,False,True,True
4,64,17/209,True,True,17/303,False,False,True,True
5,0,1/17,False,False,1/15,True,True,True,True
5,1,6/97,False,False,2/31,True,True,True,True
5,2,7/109,True,True,7/111,True,True,True,True
5,3,8/121,True,True,8/129,False,False,True,True
5,4,9/133,True,True,3/49,False,False,True,True
5,5,2/29,True,True,2/33,False,False,True,True
5,6,11/157,True,True,11/183,False,False,True,True
5,7,12/169,True,True,4/67,False,False,True,True
5,8,13/181,True,True,13/219,False,False,True,True
5,9,14/193,True,True,14/237,False,False,True,True
5,10,3/41,True,True,1/17,False,False,True,True
5,11,16/217,True,True,16/273,False,False,True,True
5,12,17/229,True,True,17/291,False,False,True,True
5,13,18/241,True,True,6/103,False,False,True,True
5,14,19/253,True,True,19/327,False,False,True,True
5,15,4/53,True,True,4/69,False,False,True,True
5,16,21/277,True,True,7/121,False,False,True,True
5,17,22/289,True,True,22/381,False,False,True,True
5,18,23/301,True,True,23/399,False,False,True,True
5,19,24/313,True,True,8/139,False,False,True,True
5,20,1/13,True,True,5/87,False,False,True,True
5,21,26/337,True,True,26/453,False,False,True,True
5,22,27/349,True,True,9/157,False,False,True,True
5,23,28/361,True,True,28/489,False,False,True,True
5,24,29/373,True,True,29/507,False,False,True,True
5,25,6/77,True,True,2/35,False,False,True,True
5,26,31/397,True,True,31/543,False,False,True,True
5,27,32/409,True,True,32/561,False,False,True,True
5,28,33/421,True,True,11/193,False,False,True,True
5,29,34/433,True,True,34/597,False,False,True,True
5,30,7/89,True,True,7/123,False,False,True,True
5,31,36/457,True,True,12/211,False,False,True,True
5,32,37/469,True,True,37/651,False,False,True,True
5,33,38/481,True,True,38/669,False,False,True,True
5,34,39/493,True,True,13/229,False,False,True,True
5,35,8/101,True,True,8/141,False,False,True,True
5,36,41/517,True,True,41/723,False,False,True,True
5,37,42/529,True,True,14/247,False,False,True,True
5,38,43/541,True,True,43/759,False,False,True,True
5,39,44/553,True,True,44/777,False,False,True,True
5,40,9/113,True,True,3/53,False,False,True,True
5,41,46/577,True,True,46/813,False,False,True,True
5,42,47/589,True,True,47/831,False,False,True,True
5,43,48/601,True,True,16/283,False,False,True,True
5,44,49/613,True,True,49/867,False,False,True,True
5,45,2/25,True,True,10/177,False,False,True,True
5,46,51/637,True,True,17/301,False,False,True,True
5,47,52/649,True,True,52/921,False,False,True,True
5,48,53/661,True,True,53/939,False,False,True,True
5,49,54/673,True,True,18/319,False,False,True,True
5,50,11/137,True,True,11/195,False,False,True,True
5,51,56/697,True,True,56/993,False,False,True,True
5,52,57/709,True,True,19/337,False,False,True,True
5,53,58/721,True,True,58/1029,False,False,True,True
5,54,59/733,True,True,59/1047,False,False,True,True
5,55,12/149,True,True,4/71,False,False,True,True
5,56,61/757,True,True,61/1083,False,False,True,True
5,57,62/769,True,True,62/1101,False,False,True,True
5,58,63/781,True,True,21/373,False,False,True,True
5,59,64/793,True,True,64/1137,False,False,True,True
5,60,13/161,True,True,13/231,False,False,True,True
5,61,66/817,True,True,22/391,False,False,True,True
5,62,67/829,True,True,67/1191,False,False,True,True
5,63,68/841,True,True,68/1209,False,False,True,True
5,64,69/853,True,True,23/409,False,False,True,True
6,0,1/17,False,False,1/15,True,True,True,True
6,1,7/114,False,False,7/108,True,True,True,True
6,2,4/63,True,True,4/63,True,True,True,True
6,3,3/46,True,True,1/16,True,True,True,True
6,4,1/15,True,True,5/81,False,False,True,True
6,5,11/162,True,True,11/180,False,False,True,True
6,6,2/29,True,True,2/33,False,False,True,True
6,7,13/186,True,True,13/216,False,False,True,True
6,8,7/99,True,True,7/117,False,False,True,True
6,9,1/14,True,True,5/84,False,False,True,True
6,10,8/111,True,True,8/135,False,False,True,True
6,11,17/234,True,True,17/288,False,False,True,True
6,12,3/41,True,True,1/17,False,False,True,True
6,13,19/258,True,True,19/324,False,False,True,True
6,14,2/27,True,True,10/171,False,False,True,True
6,15,7/94,True,True,7/120,False,False,True,True
6,16,11/147,True,True,11/189,False,False,True,True
6,17,23/306,True,True,23/396,False,False,True,True
6,18,4/53,True,True,4/69,False,False,True,True
6,19,5/66,True,True,25/432,False,False,True,True
6,20,13/171,True,True,13/225,False,False,True,True
6,21,9/118,True,True,3/52,False,False,True,True
6,22,14/183,True,True,14/243,False,False,True,True
6,23,29/378,True,True,29/504,False,False,True,True
6,24,1/13,True,True,5/87,False,False,True,True
6,25,31/402,True,True,31/540,False,False,True,True
6,26,16/207,True,True,16/279,False,False,True,True
6,27,11/142,True,True,11/192,False,False,True,True
6,28,17/219,True,True,17/297,False,False,True,True
6,29,7/90,True,True,35/612,False,False,True,True
6,30,6/77,True,True,2/35,False,False,True,True
6,31,37/474,True,True,37/648,False,False,True,True
6,32,19/243,True,True,19/333,False,False,True,True
6,33,13/166,True,True,13/228,False,False,True,True
6,34,4/51,True,True,20/351,False,False,True,True
6,35,41/522,True,True,41/720,False,False,True,True
6,36,7/89,True,True,7/123,False,False,True,True
6,37,43/546,True,True,43/756,False,False,True,True
6,38,22/279,True,True,22/387,False,False,True,True
6,39,3/38,True,True,5/88,False,False,True,True
6,40,23/291,True,True,23/405,False,False,True,True
6,41,47/594,True,True,47/828,False,False,True,True
6,42,8/101,True,True,8/141,False,False,True,True
6,43,49/618,True,True,49/864,False,False,True,True
6,44,5/63,True,True,25/441,False,False,True,True
6,45,17/214,True,True,17/300,False,False,True,True
6,46,26/327,True,True,26/459,False,False,True,True
6,47,53/666,True,True,53/936,False,False,True,True
6,48,9/113,True,True,3/53,False,False,True,True
6,49,11/138,True,True,55/972,False,False,True,True
6,50,28/351,True,True,28/495,False,False,True,True
6,51,19/238,True,True,19/336,False,False,True,True
6,52,29/363,True,True,29/513,False,False,True,True
6,53,59/738,True,True,59/1044,False,False,True,True
6,54,2/25,True,True,10/177,False,False,True,True
6,55,61/762,True,True,61/1080,False,False,True,True
6,56,31/387,True,True,31/549,False,False,True,True
6,57,21/262,True,True,7/124,False,False,True,True
6,58,32/399,True,True,32/567,False,False,True,True
6,59,13/162,True,True,65/1152,False,False,True,True
6,60,11/137,True,True,11/195,False,False,True,True
6,61,67/834,True,True,67/1188,False,False,True,True
6,62,34/423,True,True,34/603,False,False,True,True
6,63,23/286,True,True,23/408,False,False,True,True
6,64,7/87,True,True,35/621,False,False,True,True
7,0,1/17,False,False,1/15,True,True,True,True
7,1,8/131,False,False,8/123,True,True,True,True
7,2,9/143,True,True,3/47,True,True,True,True
7,3,2/31,True,True,10/159,True,True,True,True
7,4,11/167,True,True,11/177,False,False,True,True
7,5,12/179,True,True,4/65,False,False,True,True
7,6,13/191,True,True,13/213,False,False,True,True
7,7,2/29,True,True,2/33,False,False,True,True
7,8,3/43,True,True,5/83,False,False,True,True
7,9,16/227,True,True,16/267,False,False,True,True
7,10,17/239,True,True,17/285,False,False,True,True
7,11,18/251,True,True,6/101,False,False,True,True
7,12,19/263,True,True,19/321,False,False,True,True
7,13,4/55,True,True,20/339,False,False,True,True
7,14,3/41,True,True,1/17,False,False,True,True
7,15,22/299,True,True,22/375,False,False,True,True
7,16,23/311,True,True,23/393,False,False,True,True
7,17,24/323,True,True,8/137,False,False,True,True
7,18,5/67,True,True,25/429,False,False,True,True
7,19,26/347,True,True,26/447,False,False,True,True
7,20,27/359,True,True,9/155,False,False,True,True
7,21,4/53,True,True,4/69,False,False,True,True
7,22,29/383,True,True,29/501,False,False,True,True
7,23,6/79,True,True,10/173,False,False,True,True
7,24,31/407,True,True,31/537,False,False,True,True
7,25,32/419,True,True,32/555,False,False,True,True
7,26,33/431,True,True,11/191,False,False,True,True
7,27,34/443,True,True,34/591,False,False,True,True
7,28,1/13,True,True,5/87,False,False,True,True
7,29,36/467,True,True,12/209,False,False,True,True
7,30,37/479,True,True,37/645,False,False,True,True
7,31,38/491,True,True,38/663,False,False,True,True
7,32,39/503,True,True,13/227,False,False,True,True
7,33,8/103,True,True,40/699,False,False,True,True
7,34,41/527,True,True,41/717,False,False,True,True
7,35,6/77,True,True,2/35,False,False,True,True
7,36,43/551,True,True,43/753,False,False,True,True
7,37,44/563,True,True,44/771,False,False,True,True
7,38,9/115,True,True,15/263,False,False,True,True
7,39,46/587,True,True,46/807,False,False,True,True
7,40,47/599,True,True,47/825,False,False,True,True
7,41,48/611,True,True,16/281,False,False,True,True
7,42,7/89,True,True,7/123,False,False,True,True
7,43,10/127,True,True,50/879,False,False,True,True
7,44,51/647,True,True,17/299,False,False,True,True
7,45,52/659,True,True,52/915,False,False,True,True
7,46,53/671,True,True,53/933,False,False,True,True
7,47,54/683,True,True,18/317,False,False,True,True
7,48,11/139,True,True,55/969,False,False,True,True
7,49,8/101,True,True,8/141,False,False,True,True
7,50,57/719,True,True,19/335,False,False,True,True
7,51,58/731,True,True,58/1023,False,False,True,True
7,52,59/743,True,True,59/1041,False,False,True,True
7,53,12/151,True,True,20/353,False,False,True,True
7,54,61/767,True,True,61/1077,False,False,True,True
7,55,62/779,True,True,62/1095,False,False,True,True
7,56,9/113,True,True,3/53,False,False,True,True
7,57,64/803,True,True,64/1131,False,False,True,True
7,58,13/163,True,True,65/1149,False,False,True,True
7,59,66/827,True,True,22/389,False,False,True,True
7,60,67/839,True,True,67/1185,False,False,True,True
7,61,68/851,True,True,68/1203,False,False,True,True
7,62,69/863,True,True,23/407,False,False,True,True
7,63,2/25,True,True,10/177,False,False,True,True
7,64,71/887,True,True,71/1257,False,False,True,True
8,0,1/17,False,False,1/15,True,True,True,True
8,1,9/148,False,False,3/46,True,True,True,True
8,2,1/16,True,True,5/78,True,True,True,True
8,3,11/172,True,True,11/174,True,True,True,True
8,4,3/46,True,True,1/16,True,True,True,True
8,5,13/196,True,True,13/210,False,False,True,True
8,6,7/104,True,True,7/114,False,False,True,True
8,7,3/44,True,True,5/82,False,False,True,True
8,8,2/29,True,True,2/33,False,False,True,True
8,9,17/244,True,True,17/282,False,False,True,True
8,10,9/128,True,True,3/50,False,False,True,True
8,11,19/268,True,True,19/318,False,False,True,True
8,12,1/14,True,True,5/84,False,False,True,True
8,13,21/292,True,True,7/118,False,False,True,True
8,14,11/152,True,True,11/186,False,False,True,True
8,15,23/316,True,True,23/390,False,False,True,True
8,16,3/41,True,True,1/17,False,False,True,True
8,17,5/68,True,True,25/426,False,False,True,True
8,18,13/176,True,True,13/222,False,False,True,True
8,19,27/364,True,True,9/154,False,False,True,True
8,20,7/94,True,True,7/120,False,False,True,True
8,21,29/388,True,True,29/498,False,False,True,True
8,22,3/40,True,True,5/86,False,False,True,True
8,23,31/412,True,True,31/534,False,False,True,True
8,24,4/53,True,True,4/69,False,False,True,True
8,25,33/436,True,True,11/190,False,False,True,True
8,26,17/224,True,True,17/294,False,False,True,True
8,27,7/92,True,True,35/606,False,False,True,True
8,28,9/118,True,True,3/52,False,False,True,True
8,29,37/484,True,True,37/642,False,False,True,True
8,30,19/248,True,True,19/330,False,False,True,True
8,31,39/508,True,True,13/226,False,False,True,True
8,32,1/13,True,True,5/87,False,False,True,True
8,33,41/532,True,True,41/714,False,False,True,True
8,34,21/272,True,True,7/122,False,False,True,True
8,35,43/556,True,True,43/750,False,False,True,True
8,36,11/142,True,True,11/192,False,False,True,True
8,37,9/116,True,True,15/262,False,False,True,True
8,38,23/296,True,True,23/402,False,False,True,True
8,39,47/604,True,True,47/822,False,False,True,True
8,40,6/77,True,True,2/35,False,False,True,True
8,41,49/628,True,True,49/858,False,False,True,True
8,42,5/64,True,True,25/438,False,False,True,True
8,43,51/652,True,True,17/298,False,False,True,True
8,44,13/166,True,True,13/228,False,False,True,True
8,45,53/676,True,True,53/930,False,False,True,True
8,46,27/344,True,True,9/158,False,False,True,True
8,47,11/140,True,True,55/966,False,False,True,True
8,48,7/89,True,True,7/123,False,False,True,True
8,49,57/724,True,True,19/334,False,False,True,True
8,50,29/368,True,True,29/510,False,False,True,True
8,51,59/748,True,True,59/1038,False,False,True,True
8,52,3/38,True,True,5/88,False,False,True,True
